cell,tag,env,partition,statistic,engine,n_test,regions,tp,precision,recall,widest_Mb,med_occupancy,occ_all_units,widest_all_Mb,n_qtn
V1_c1.5,nobgs,3,stage 2,consensus,EMMAX,91104,8,2,0.25,0.08,9.063879,0.0336669699727025,1,16.160987,25
V1_c1.5,nobgs,3,stage 2,Simes,LFMM,91104,13,4,0.307692307692308,0.2,14.001428,0.0436241610738255,1,16.160987,25
V1_c1.5,nobgs,3,stage 1,Simes,LFMM,94429,14,5,0.357142857142857,0.24,14.001428,0.0418120805369128,1,16.160987,25
V1_c1.5,nobgs,3,stage 2,consensus,LFMM,91104,41,7,0.170731707317073,0.32,15.382296,0.0206456456456456,1,16.160987,25
V1_c1.5,nobgs,4,stage 2,Simes,EMMAX,90013,0,0,0,0,,,1,16.58228,27
V1_c1.5,nobgs,4,stage 1,Simes,EMMAX,93395,0,0,0,0,,,1,16.58228,27
V1_c1.5,nobgs,4,stage 2,consensus,EMMAX,90013,0,0,0,0,,,1,16.58228,27
V1_c1.5,nobgs,4,stage 2,Simes,LFMM,90013,2,2,1,0.0740740740740741,1.542303,0.145486955112624,1,16.58228,27
V1_c1.5,nobgs,4,stage 1,Simes,LFMM,93395,2,2,1,0.0740740740740741,1.542303,0.145486955112624,1,16.58228,27
V1_c1.5,nobgs,4,stage 2,consensus,LFMM,90013,14,4,0.285714285714286,0.148148148148148,16.366704,0.0259067357512953,1,16.58228,27
V1_c1.5,nobgs,5,stage 2,Simes,EMMAX,90547,0,0,0,0,,,1,17.944561,23
V1_c1.5,nobgs,5,stage 1,Simes,EMMAX,93906,0,0,0,0,,,1,17.944561,23
V1_c1.5,nobgs,5,stage 2,consensus,EMMAX,90547,3,0,0,0,10.737307,0.0208333333333333,1,17.944561,23
