tag	cell	method	arm	floor	TP	FP	n_regions	n_detectable_qtn	n_recovered	n_tests	n_eligible_markers	n_eligible_units	frac_markers_retained	frac_dqtn_covered	precision	recall	realised_fdp	precision_ci_lo	precision_ci_hi	recall_ci_lo	recall_ci_hi	fdp_ci_lo	fdp_ci_hi
bgs	V2_c1	emmax	A_unrestricted_marker	1	36	63	99	121	29	1551174	1551174	901025	1	1	0.363636363636364	0.239669421487603	0.636363636363636	0.270588235294118	0.43751291322314	0.155036030134294	0.349093075277183	0.56248708677686	0.729411764705882
bgs	V2_c1	emmax	A_unrestricted_marker	2	36	63	99	121	29	1551174	1551174	901025	1	1	0.363636363636364	0.239669421487603	0.636363636363636	0.270588235294118	0.43751291322314	0.155036030134294	0.349093075277183	0.56248708677686	0.729411764705882
bgs	V2_c1	emmax	A_unrestricted_marker	3	36	63	99	121	29	1551174	1551174	901025	1	1	0.363636363636364	0.239669421487603	0.636363636363636	0.270588235294118	0.43751291322314	0.155036030134294	0.349093075277183	0.56248708677686	0.729411764705882
bgs	V2_c1	emmax	A_unrestricted_marker	5	36	63	99	121	29	1551174	1551174	901025	1	1	0.363636363636364	0.239669421487603	0.636363636363636	0.270588235294118	0.43751291322314	0.155036030134294	0.349093075277183	0.56248708677686	0.729411764705882
bgs	V2_c1	emmax	A_unrestricted_marker	10	36	63	99	121	29	1551174	1551174	901025	1	1	0.363636363636364	0.239669421487603	0.636363636363636	0.270588235294118	0.43751291322314	0.155036030134294	0.349093075277183	0.56248708677686	0.729411764705882
bgs	V2_c1	emmax	A_unrestricted_marker	20	36	63	99	121	29	1551174	1551174	901025	1	1	0.363636363636364	0.239669421487603	0.636363636363636	0.270588235294118	0.43751291322314	0.155036030134294	0.349093075277183	0.56248708677686	0.729411764705882
bgs	V2_c1.5	emmax	A_unrestricted_marker	1	20	249	269	190	18	1623067	1623067	831645	1	1	0.0743494423791822	0.0947368421052632	0.925650557620818	0.0546218487394958	0.095625615618706	0.0742857142857143	0.113209870805837	0.904374384381294	0.945378151260504
bgs	V2_c1.5	emmax	A_unrestricted_marker	2	20	249	269	190	18	1623067	1623067	831645	1	1	0.0743494423791822	0.0947368421052632	0.925650557620818	0.0546218487394958	0.095625615618706	0.0742857142857143	0.113209870805837	0.904374384381294	0.945378151260504
bgs	V2_c1.5	emmax	A_unrestricted_marker	3	20	249	269	190	18	1623067	1623067	831645	1	1	0.0743494423791822	0.0947368421052632	0.925650557620818	0.0546218487394958	0.095625615618706	0.0742857142857143	0.113209870805837	0.904374384381294	0.945378151260504
bgs	V2_c1.5	emmax	A_unrestricted_marker	5	20	249	269	190	18	1623067	1623067	831645	1	1	0.0743494423791822	0.0947368421052632	0.925650557620818	0.0546218487394958	0.095625615618706	0.0742857142857143	0.113209870805837	0.904374384381294	0.945378151260504
bgs	V2_c1.5	emmax	A_unrestricted_marker	10	20	249	269	190	18	1623067	1623067	831645	1	1	0.0743494423791822	0.0947368421052632	0.925650557620818	0.0546218487394958	0.095625615618706	0.0742857142857143	0.113209870805837	0.904374384381294	0.945378151260504
bgs	V2_c1.5	emmax	A_unrestricted_marker	20	20	249	269	190	18	1623067	1623067	831645	1	1	0.0743494423791822	0.0947368421052632	0.925650557620818	0.0546218487394958	0.095625615618706	0.0742857142857143	0.113209870805837	0.904374384381294	0.945378151260504
nobgs	V0.5_c1	emmax	A_unrestricted_marker	1	150	244	394	204	119	1488756	1488756	889227	1	1	0.380710659898477	0.583333333333333	0.619289340101523	0.33252822731072	0.444099378881988	0.504807692307692	0.670218810444874	0.555900621118012	0.66747177268928
nobgs	V0.5_c1	emmax	A_unrestricted_marker	2	150	244	394	204	119	1488756	1488756	889227	1	1	0.380710659898477	0.583333333333333	0.619289340101523	0.33252822731072	0.444099378881988	0.504807692307692	0.670218810444874	0.555900621118012	0.66747177268928
nobgs	V0.5_c1	emmax	A_unrestricted_marker	3	150	244	394	204	119	1488756	1488756	889227	1	1	0.380710659898477	0.583333333333333	0.619289340101523	0.33252822731072	0.444099378881988	0.504807692307692	0.670218810444874	0.555900621118012	0.66747177268928
nobgs	V0.5_c1	emmax	A_unrestricted_marker	5	150	244	394	204	119	1488756	1488756	889227	1	1	0.380710659898477	0.583333333333333	0.619289340101523	0.33252822731072	0.444099378881988	0.504807692307692	0.670218810444874	0.555900621118012	0.66747177268928
nobgs	V0.5_c1	emmax	A_unrestricted_marker	10	150	244	394	204	119	1488756	1488756	889227	1	1	0.380710659898477	0.583333333333333	0.619289340101523	0.33252822731072	0.444099378881988	0.504807692307692	0.670218810444874	0.555900621118012	0.66747177268928
nobgs	V0.5_c1	emmax	A_unrestricted_marker	20	150	244	394	204	119	1488756	1488756	889227	1	1	0.380710659898477	0.583333333333333	0.619289340101523	0.33252822731072	0.444099378881988	0.504807692307692	0.670218810444874	0.555900621118012	0.66747177268928
nobgs	V0.5_c1.5	emmax	A_unrestricted_marker	1	58	312	370	265	53	1518170	1518170	806474	1	1	0.156756756756757	0.2	0.843243243243243	0.0989616385297052	0.239485560966531	0.151724137931034	0.264466025661639	0.760514439033469	0.901038361470295
nobgs	V0.5_c1.5	emmax	A_unrestricted_marker	2	58	312	370	265	53	1518170	1518170	806474	1	1	0.156756756756757	0.2	0.843243243243243	0.0989616385297052	0.239485560966531	0.151724137931034	0.264466025661639	0.760514439033469	0.901038361470295
nobgs	V0.5_c1.5	emmax	A_unrestricted_marker	3	58	312	370	265	53	1518170	1518170	806474	1	1	0.156756756756757	0.2	0.843243243243243	0.0989616385297052	0.239485560966531	0.151724137931034	0.264466025661639	0.760514439033469	0.901038361470295
nobgs	V0.5_c1.5	emmax	A_unrestricted_marker	5	58	312	370	265	53	1518170	1518170	806474	1	1	0.156756756756757	0.2	0.843243243243243	0.0989616385297052	0.239485560966531	0.151724137931034	0.264466025661639	0.760514439033469	0.901038361470295
nobgs	V0.5_c1.5	emmax	A_unrestricted_marker	10	58	312	370	265	53	1518170	1518170	806474	1	1	0.156756756756757	0.2	0.843243243243243	0.0989616385297052	0.239485560966531	0.151724137931034	0.264466025661639	0.760514439033469	0.901038361470295
nobgs	V0.5_c1.5	emmax	A_unrestricted_marker	20	58	312	370	265	53	1518170	1518170	806474	1	1	0.156756756756757	0.2	0.843243243243243	0.0989616385297052	0.239485560966531	0.151724137931034	0.264466025661639	0.760514439033469	0.901038361470295
nobgs	V0.5_c2	emmax	A_unrestricted_marker	1	35	1249	1284	346	33	1553729	1553729	582316	1	1	0.0272585669781931	0.0953757225433526	0.972741433021807	0.0225388461251289	0.0312030145541262	0.0775569703555195	0.112462006079027	0.968796985445874	0.977461153874871
nobgs	V0.5_c2	emmax	A_unrestricted_marker	2	35	1249	1284	346	33	1553729	1553729	582316	1	1	0.0272585669781931	0.0953757225433526	0.972741433021807	0.0225388461251289	0.0312030145541262	0.0775569703555195	0.112462006079027	0.968796985445874	0.977461153874871
nobgs	V0.5_c2	emmax	A_unrestricted_marker	3	35	1249	1284	346	33	1553729	1553729	582316	1	1	0.0272585669781931	0.0953757225433526	0.972741433021807	0.0225388461251289	0.0312030145541262	0.0775569703555195	0.112462006079027	0.968796985445874	0.977461153874871
